#,Producto visible,Categoría final,Precio proveedor,Precio sugerido,Stock visible,Estado stock,Etiqueta,Tipo visible,Pantallazo fuente,Notas crudas,Categoría interpretada por nombre,Confianza,Criterio / keyword,Categoría indicada por Jaime,Categoría final ajustada,Fuente ajuste,Requiere revisión,Comentario ajuste,Categoría original visible / captura
95,Mini Ventilador Portatil 360,Tecnología,52000,91900,14.0,Disponible,Premium,No visible,ADMA catalogo 05,,Tecnología,Alta,mini ventilador portátil,Tecnología,Tecnología,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Tecnología.,Tecnología
96,Depilador De Cejas Imp,Belleza,15000,54900,5.0,Disponible,Premium,No visible,ADMA catalogo 05,,Belleza,Alta,depilador de cejas,No categorizado en captura,Belleza,Inferida por nombre,No,Categoría original no categorizada en captura. Subcategoría/criterio previo: Belleza.,No categorizado en captura
97,Nano Esponja Para Vidrios,Hogar,9050,47900,585.0,Disponible,Premium,No visible,ADMA catalogo 05,,Hogar / Limpieza,Media,esponja para vidrios,Hogar,Hogar,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Hogar / Limpieza.,Hogar
98,Tendedero Retractil X2,Hogar,44000,119850,28.0,Disponible,Premium,No visible,ADMA catalogo 05,,Hogar,Alta,tendedero retráctil,Hogar,Hogar,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Hogar.,Hogar
99,Cinta Levanta Busto,Bienestar,12000,29900,564.0,Disponible,Premium,No visible,ADMA catalogo 05,,Moda / Ropa íntima,Alta,cinta levanta busto,Bienestar,Bienestar,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Moda / Ropa íntima.,Bienestar
100,Linterna Con Set De Herramientas,Herramientas,35000,78900,200.0,Disponible,Premium,No visible,ADMA catalogo 05,,Herramientas,Alta,linterna con set de herramientas,Herramientas,Herramientas,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Herramientas.,Herramientas
101,Car Home,Vehículos,45000,84900,20.0,Disponible,Premium,No visible,ADMA catalogo 05,,Vehículos,Baja,car home,No categorizado en captura,Vehículos,Inferida por nombre,No,Categoría original no categorizada en captura. Subcategoría/criterio previo: Vehículos.,No categorizado en captura
102,Dazzling,Pendiente revisión,12500,51900,45.0,Disponible,Premium,No visible,ADMA catalogo 05,,No determinable por nombre,Baja,nombre no descriptivo,No categorizado en captura,Pendiente revisión,Inferida por nombre,Sí,Categoría original no categorizada en captura. Subcategoría/criterio previo: No determinable por nombre.,No categorizado en captura
103,Juguete Ovni Para Gatos,Mascotas,65000,104900,16.0,Disponible,Premium,No visible,ADMA catalogo 05,,Mascotas,Alta,gatos,No categorizado en captura,Mascotas,Inferida por nombre,No,Categoría original no categorizada en captura. Subcategoría/criterio previo: Mascotas.,No categorizado en captura
104,Organizador De Copas,Cocina,15000,54900,102.0,Disponible,Premium,No visible,ADMA catalogo 05,,Cocina,Alta,organizador de copas,Cocina,Cocina,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Cocina.,Cocina
105,Masajeador Abdominal,Deportes,25000,64900,12.0,Disponible,Premium,No visible,ADMA catalogo 05,,Salud / Bienestar,Alta,masajeador abdominal,Deportes,Deportes,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Salud / Bienestar.,Deportes
106,Organizador De Ropa Para Ropa,Hogar,37000,76900,150.0,Disponible,Premium,No visible,ADMA catalogo 05,,Hogar / Organización,Alta,organizador de ropa,Hogar,Hogar,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Hogar / Organización.,Hogar
107,Rollo Lifting De Parpados,Belleza,11000,30000,599.0,Disponible,Premium,No visible,ADMA catalogo 05,,Belleza,Alta,lifting de párpados,Belleza,Belleza,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Belleza.,Belleza
108,Ice Lux Pack,Belleza,54000,93900,,Agotado,Premium,No visible,ADMA catalogo 05,,Belleza,Baja,ice lux pack,Agotado,Belleza,Inferida por nombre; producto agotado,No,Categoría visible original: Agotado. Subcategoría/criterio previo: Belleza.,Agotado
109,Mini Gps nacional,Vehículos,53000,92900,494.0,Disponible,Premium,No visible,ADMA catalogo 05,,Vehículos,Alta,gps,Vehículos,Vehículos,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Vehículos.,Vehículos
110,Soporte Para Celular G201,Vehículos,16000,59900,61.0,Disponible,Premium,No visible,ADMA catalogo 05,,Tecnología,Alta,soporte para celular,Vehículos,Vehículos,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Tecnología.,Vehículos
111,Masajeador De Pies,Hogar,19000,58900,166.0,Disponible,Premium,No visible,ADMA catalogo 05,,Salud / Bienestar,Alta,masajeador de pies,Hogar,Hogar,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Salud / Bienestar.,Hogar
112,Dispensador De Comida Inteligente Para M,Mascotas,45000,84900,13.0,Disponible,Premium,No visible,ADMA catalogo 05,,Mascotas,Media,dispensador de comida inteligente,No categorizado en captura,Mascotas,Inferida por nombre,No,Categoría original no categorizada en captura. Subcategoría/criterio previo: Mascotas.,No categorizado en captura
113,Linterna,Hogar,20000,59900,98.0,Disponible,Premium,No visible,ADMA catalogo 05,,Herramientas,Media,linterna,Hogar,Hogar,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Herramientas.,Hogar
114,Soporte Lumbar Para Sillas,Vehículos,16000,59900,15.0,Disponible,Premium,No visible,ADMA catalogo 05,,Salud / Bienestar,Alta,soporte lumbar,Vehículos,Vehículos,Categoría indicada por Jaime,No,Categoría ajustada con lista enviada por Jaime. Subcategoría/criterio previo: Salud / Bienestar.,Vehículos
115,Combo Bienestar,Bienestar,65000,104900,,Agotado,Premium,No visible,ADMA catalogo 05,,Salud / Bienestar,Media,combo bienestar,Agotado,Bienestar,Inferida por nombre; producto agotado,No,Categoría visible original: Agotado. Subcategoría/criterio previo: Salud / Bienestar.,Agotado
116,Electro Estimulador Azul,Bienestar,25000,64900,201.0,Disponible,Premium,No visible,ADMA catalogo 05,,Salud / Bienestar,Alta,electro estimulador,No categorizado en captura,Bienestar,Inferida por nombre,No,Categoría original no categorizada en captura. Subcategoría/criterio previo: Salud / Bienestar.,No categorizado en captura
